age,d13,ref,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
2.9,-15.85,freeman_2001,-6.28,392.6892203898051,21.606106373684156,14.976106373684154,-27.296338774509977,-20.94246971943819
3.1,-17.42,freeman_2001,-6.175,306.7967343173405,21.592417847544166,14.962417847544165,-27.18052460300072,-20.825813326537553
3.9,-13.2,freeman_2001,-6.227685950413223,319.8755047283925,21.594976648051553,14.964976648051552,-27.234533483860233,-20.88019102733387
4,-17.62,freeman_2001,-6.2342975206611575,391.8020660175742,21.605995664226185,14.975995664226184,-27.25149744915718,-20.897334789683164
4,-16.92,freeman_2001,-6.2342975206611575,391.8020660175742,21.605995664226185,14.975995664226184,-27.25149744915718,-20.897334789683164
4,-15.4,freeman_2001,-6.2342975206611575,391.8020660175742,21.605995664226185,14.975995664226184,-27.25149744915718,-20.897334789683164
4.1,-19.36,freeman_2001,-6.240909090909091,320.9136738727606,21.595170826103182,14.965170826103183,-27.247662001478428,-20.89340651931156
4.1,-13.67,freeman_2001,-6.240909090909091,320.9136738727606,21.595170826103182,14.965170826103183,-27.247662001478428,-20.89340651931156
4.3,-13.46,freeman_2001,-6.2541322314049586,349.94331051520936,21.600133970494444,14.970133970494443,-27.265331391101675,-20.9112224010686
5,-17.97,freeman_2001,-6.300413223140496,319.924155361457,21.59498577575892,14.964985775758922,-27.305732102548205,-20.95185478999143
5,-16.52,freeman_2001,-6.300413223140496,319.924155361457,21.59498577575892,14.964985775758922,-27.305732102548205,-20.95185478999143
5.5,-12.61,freeman_2001,-6.333471074380165,341.9222560975608,21.598846884320626,14.968846884320623,-27.341767312961416,-20.988149561529042
5.5,-13.3,freeman_2001,-6.333471074380165,341.9222560975608,21.598846884320626,14.968846884320623,-27.341767312961416,-20.988149561529042
5.5,-23.09,freeman_2001,-6.333471074380165,341.9222560975608,21.598846884320626,14.968846884320623,-27.341767312961416,-20.988149561529042
5.5,-12.86,freeman_2001,-6.333471074380165,341.9222560975608,21.598846884320626,14.968846884320623,-27.341767312961416,-20.988149561529042
5.5,-12.93,freeman_2001,-6.333471074380165,341.9222560975608,21.598846884320626,14.968846884320623,-27.341767312961416,-20.988149561529042
6.2,-14.71,freeman_2001,-6.425,401.13220745312145,21.607135481411717,14.977135481411715,-27.43925184919753,-21.08632276850307
6.3,-18.03,freeman_2001,-6.415000000000002,381.3509213294069,21.604652671788315,14.974652671788316,-27.4270997087855,-21.07407570768674
6.5,-23.66,freeman_2001,-6.49,326.87187290268434,21.59626138835532,14.96626138835532,-27.49252561886427,-21.139876471367298
7.3,-22.66,freeman_2001,-5.9992857142857146,416.9289655172414,21.60894898990484,14.978948989904838,-27.024268661201177,-20.668640196989156
8.2,-24.3,freeman_2001,-5.9125000000000005,405.67586206896556,21.60767157404417,14.977671574044166,-26.938101915035944,-20.58190259658357
9.3,-26.64,freeman_2001,-5.935138888888889,NA,NA,NA,NA,NA
12,-19.59,freeman_2001,-6.03,NA,NA,NA,NA,NA
12,-20.15,freeman_2001,-6.03,NA,NA,NA,NA,NA
0.67,-23.627,roy_2020,-7.25,209.4446511627907,21.563329002944666,14.933329002944665,-28.205132452304003,-21.856932242768337
