"","depth_cm","d13o","n","d13o.se","age","d13o.low","d13o.high","d13a","co2","D13_wet","D13_dry","d13_wet","d13_dry"
"73",4425,-23.8975,4,0.211438525344839,6.40097142857143,-24.1089385253448,-23.6860614746552,-6.40034857142857,326.200690141688,21.5961405291888,14.9661405291888,-27.4046543344566,-21.0514304343957
"74",4450,-24.5088888888889,9,0.170175109523204,6.42225714285715,-24.6790639984121,-24.3387137793657,-6.36416285714285,348.235505236178,21.5998648982907,14.9698648982907,-27.3727794181116,-21.0193706170492
"75",4475,-23.78,3,0.198578280114753,6.44354285714286,-23.9785782801148,-23.5814217198852,-6.32797714285714,370.270320330668,21.6031459924121,14.9731459924121,-27.3404826960827,-20.9868834652188
"76",4543,-22.908,10,0.165293005834421,6.50144000000001,-23.0732930058344,-22.7427069941656,-6.48769599999999,324.9543896812,21.5959147849369,14.9659147849369,-27.4899403751521,-21.1372721708421
"77",4582,-24.2133333333333,9,0.532342830222113,6.53464571428572,-24.7456761635554,-23.6809905031112,-6.43456685714285,372.890362093363,21.6035103345332,14.9735103345332,-27.4451652799183,-21.092252136334
"78",4657,-24.31,6,0.229927524813074,6.58969333333333,-24.5399275248131,-24.0800724751869,-6.47450166666667,336.078311688317,21.5978704580681,14.9678704580681,-27.4788866896791,-21.12615852072
"79",4750,-24.5985714285714,7,0.0830785219917072,6.64673333333334,-24.6816499505631,-24.5154929065797,-6.45075555555554,381.795115719224,21.6047112477098,14.9747112477098,-27.4621548769098,-21.1093602292091
"80",4775,-24.61,1,0,6.66206666666667,-24.61,-24.61,-6.36897777777776,385.02624430938,21.6051332693972,14.9751332693972,-27.382508305974,-21.0291960340172
"81",4800,-24.45,2,0.25,6.6774,-24.7,-24.2,-6.28719999999998,388.257372899536,21.6055482668452,14.9755482668452,-27.3028551128812,-20.9490251298695
"82",4825,-23.915,2,0.0449999999999999,6.69273333333334,-23.96,-23.87,-6.20542222222219,391.488501489692,21.6059564139766,14.9759564139766,-27.2231954616061,-20.8688476828899
"83",4850,-24.59,1,0,6.70806666666667,-24.59,-24.59,-6.12364444444442,394.719630079849,21.6063578790188,14.9763578790188,-27.1435295107541,-20.7886638537626
"84",4875,-25.04,1,0,6.7234,-25.04,-25.04,-6.06315714285715,397.950758670005,21.606752824736,14.976752824736,-27.0846976011915,-20.7294501169982
"85",4923,-24.405,2,0.205,6.75284000000001,-24.61,-24.2,-6.09049428571429,404.154525563105,21.6074934182705,14.9774934182705,-27.1121618453562,-20.7570983993265
"86",4925,-25.01,1,0,6.75406666666667,-25.01,-25.01,-6.09163333333334,404.413015850317,21.6075237832427,14.9775237832427,-27.1133057184228,-20.7582499344838
"87",4950,-24.475,2,0.0250000000000004,6.76940000000001,-24.5,-24.45,-6.10587142857143,407.644144440473,21.60790009617,14.97790009617,-27.1276010317976,-20.7726409833591
"88",5000,-24.806,5,0.103759336929261,6.80006666666667,-24.9097593369293,-24.7022406630707,-6.13434761904763,338.693643340546,21.5983116021587,14.9683116021587,-27.1463440241141,-20.7914463732322
"89",5025,-24.475,6,0.0757957782465489,6.81540000000001,-24.5507957782465,-24.3992042217535,-6.14858571428572,344.740109537435,21.599305871383,14.969305871383,-27.1612279160673,-20.8064337152919
"90",5077,-24.355,2,0.184999999999999,6.84729333333334,-24.54,-24.17,-6.17820095238096,357.316759226963,21.6012661643928,14.9712661643928,-27.1920836796453,-20.8375033085402
"91",5162,-24.8883333333333,6,0.158690824491455,6.89942666666668,-25.0470241578248,-24.7296425088418,-6.15815538461538,377.874744296384,21.6041895124249,14.9741895124249,-27.1752457380684,-20.8205736809839
"92",5195,-23.9042857142857,7,0.774580860984882,6.91966666666668,-24.6788665752706,-23.1297048533008,-6.14180769230768,385.856079676276,21.6052405145045,14.9752405145045,-27.1602445900122,-20.8054811229756
"93",5225,-24.4,5,0.181631495066247,6.94057142857143,-24.5816314950662,-24.2183685049337,-6.12492307692308,394.541399231373,21.6063359053387,14.9763359053387,-27.1447601758329,-20.789902420178
"94",5247,-24.625,6,0.0710750776761216,6.96508571428572,-24.6960750776761,-24.5539249223239,-6.10512307692308,405.323572048432,21.607630438188,14.977630438188,-27.1266117141515,-20.7716435149504
"95",5250,-24.6266666666667,6,0.141177587141555,6.96842857142857,-24.7678442538083,-24.4854890795251,-6.10242307692308,406.793868341667,21.6078016484657,14.9778016484657,-27.1241318641807,-20.7691485381764
"96",5270,-25.1828571428571,7,0.111391935369245,6.99071428571429,-25.2942490782263,-25.0714652074879,-6.08442307692308,416.595843629903,21.6089121662072,14.9789121662072,-27.1075701409159,-20.7524855843321
"97",5275,-24.7542857142857,7,0.206349877898785,6.99628571428572,-24.9606355921845,-24.5479358363869,-6.07992307692308,419.046337451962,21.6091816780532,14.9791816780532,-27.1034219852011,-20.74831201972
"98",5300,-24.2655555555556,9,0.821646570259837,7.02414285714286,-25.0872021258154,-23.4439089852958,-6.05742307692308,420.378131034483,21.6093268343842,14.9793268343842,-27.0815361455607,-20.7262841273021
"99",5325,-25.1285714285714,7,0.113942938338797,7.052,-25.2425143669102,-25.0146284902326,-6.03492307692307,420.029820689655,21.6092889598446,14.9792889598446,-27.0594760007652,-20.7040796451159
"100",5350,-25.1085714285714,7,0.227590155568216,7.07985714285715,-25.3361615841396,-24.8809812730032,-6.01242307692307,419.681510344828,21.6092510224379,14.9792510224379,-27.0374157944604,-20.6818751006142
"101",5375,-25.6166666666667,6,0.380960773717073,7.1075,-25.9976274403838,-25.2357058929496,-5.99009615384615,419.335879310345,21.6092133145593,14.9792133145593,-27.0155252210979,-20.6598412985495
"102",5400,-24.8942857142857,7,0.141939912552848,7.135,-25.0362256268385,-24.7523458017329,-5.98160714285714,418.992034482759,21.6091757398235,14.9791757398235,-27.0071799841658,-20.6514413139583
