age,d13,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
2.4276,-21.89,-6.7394,328.2597238,21.59650973,14.96650973,-27.73688972,-21.38583837
2.4299,-21.62,-6.69685,327.358038,21.59634862,14.96634862,-27.69508589,-21.34376046
2.4325,-20.57,-6.61375,326.338741,21.59616543,14.96616543,-27.61356824,-21.26170917
2.435,-20.01,-6.5325,325.3586478,21.5959882,14.9659882,-27.53386713,-21.18148632
2.4382,-19.84,-6.4285,324.1041284,21.59575978,14.96575978,-27.43184818,-21.07879953
2.4414,-20.26,-6.3259,322.849609,21.59552959,14.96552959,-27.33119789,-20.97749033
2.4449,-21.38,-6.21565,321.4774785,21.59527575,14.96527575,-27.22303677,-20.86862108
2.4484,-21.07,-6.1054,320.1053479,21.59501975,14.96501975,-27.11487352,-20.75974968
2.4511,-20.92,-6.121916667,319.0468472,21.59482075,14.96482075,-27.13085154,-20.77583083
2.4538,-21.67,-6.286166667,317.9883465,21.59462043,14.96462043,-27.29143883,-20.93746587
2.4572,-21.49,-6.493,320.4877628,21.59509132,14.96509132,-27.49434835,-21.14170379
2.4605,-21.31,-6.688916667,323.8954272,21.59572161,14.96572161,-27.6867235,-21.33533952
2.4635,-22.85,-6.842416667,326.993304,21.5962832,14.9662832,-27.83751305,-21.48711758
2.4664,-23.9,-6.9908,329.9879182,21.59681605,14.96681605,-27.98326659,-21.63382655
2.4685,-22.2,-7.09825,332.1564319,21.59719591,14.96719591,-28.08880645,-21.7400582
2.4706,-21.53,-7.1207,334.3249456,21.59757084,14.96757084,-28.11113854,-21.76253851
2.4735,-21.84,-6.85825,337.3195598,21.59808068,14.96808068,-27.85472214,-21.50445033
2.4764,-21.32,-6.5958,339.2208163,21.5983997,14.9683997,-27.59812438,-21.24617841
2.4822,-19.61,-6.3195,342.7521088,21.59898284,14.96898284,-27.32822106,-20.97451567
2.4852,-20.36,-6.387,344.5786395,21.59927977,14.96927977,-27.39457665,-21.04130657
2.4883,-21.2,-6.45675,346.4660544,21.59958332,14.96958332,-27.46314092,-21.11032061
2.4916,-21.39,-6.6638,348.4752381,21.59990283,14.96990283,-27.66611738,-21.31462496
2.4948,-21.16,-7.0014,350.4235374,21.60020916,14.97020916,-27.99687089,-21.64754094
2.4995,-20.76,-7.49725,389.5682096,21.60571466,14.97571466,-28.48747246,-22.14138165
2.5041,-20.87,-7.224733333,285.919128,21.58784814,14.95784814,-28.20372377,-21.85566772
2.507,-21.82,-6.994666667,277.416948,21.5857901,14.9557901,-27.9765606,-21.62700778
