age,d13o,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
5.558,-24.871,-6.3373057851239665,364.5667871298662,21.602334752704284,14.972334752704281,-27.34884170423465,-20.99529199780632
5.644,-24.694,-6.34299173553719,358.17335680304564,21.601394672760215,14.971394672760214,-27.353512391443594,-20.999987310154125
5.751,-23.262,-6.349399999999999,377.9712570870001,21.604202486591248,14.974202486591247,-27.362458394896965,-21.009009326887746
5.85,-23.692,-6.414444444444444,284.5662337046692,21.58752888879316,14.957528888793158,-27.41025368985863,-21.05701246103992
5.953,-24.429,-6.516999999999999,297.6407015760042,21.59049269337716,14.960492693377162,-27.513463461541253,-21.160914979442044
6.056,-23.951,-6.439999999999999,348.92916201117333,21.599974504597625,14.969974504597626,-27.447117467083913,-21.09419494408959
6.263,-24.544,-6.511333333333333,367.92442255325983,21.602815369616515,14.972815369616512,-27.51964685294855,-21.16721588757635
6.469,-24.751,-6.3427500000000014,368.15102558724794,21.60284749011802,14.97284749011802,-27.35465896436662,-21.001150467057744
6.675,-23.625,-6.3,387.75163103324985,21.60548376727949,14.97548376727949,-27.31532299961335,-20.961574055278046
6.881,-24.192,-6.173038461538462,370.6084692667273,21.603193304815758,14.973193304815759,-27.188865450292916,-20.834276122604553
7.088,-24.608,-6.0058461538461545,419.57969655172417,21.60923992114539,14.97923992114539,-27.03096741482395,-20.675384529659834
7.118,-24.827,-5.9816153846153846,419.2045931034483,21.60919897511652,14.979198975116521,-27.00721018116433,-20.651471853706223
7.293999999999999,-24.517,-5.998642857142857,417.00398620689657,21.60895727466626,14.978957274666257,-27.023647292069146,-20.66801482085535
7.324,-23.432,-6.001857142857142,416.6288827586207,21.608915821023086,14.978915821023087,-27.026754109414405,-20.67114167283834
7.53,-24.382,-5.8357142857142845,414.0531724137931,21.608629144082943,14.978629144082944,-26.86385240577936,-20.50717407454152
7.679,-23.981,-5.8388,412.19015862068966,21.608419557458024,14.978419557458022,-26.866673210610045,-20.51001199270282
7.706,-24.78,-5.856285714285714,411.8525655172414,21.608381375745743,14.978381375745743,-26.883752708690828,-20.52720281765139
7.716,-25.171,-5.866761904761905,411.72753103448275,21.608367218481217,14.978367218481214,-26.893993828622673,-20.537510745542875
7.732999999999999,-25.161,-5.884571428571427,411.51497241379315,21.608343131387468,14.978343131387469,-26.911403714351884,-20.55503420456551
7.743,-25.04,-5.895047619047619,411.38993793103447,21.60832895088159,14.978328950881588,-26.92164481291299,-20.565342110806135
7.771,-25.545,-5.924380952380952,411.03984137931036,21.60828919956866,14.978289199568657,-26.95031984668164,-20.594204205524292
7.798,-24.514,-5.9526666666666666,410.7022482758621,21.60825080376209,14.978250803762089,-26.97797071308389,-20.622035451354296
7.825,-24.673,-5.980952380952381,410.3646551724138,21.60821234478166,14.97821234478166,-27.005621521396893,-20.649866638333656
