"","age","d13C","d18O","site","st","st.sd","d18sw","d18sw.se","d18sw.low","d18sw.high"
"144",3.2599545,-4.53996336413971,-9.55815998960871,"Shilou",21.9296139398398,1.96792821613822,-9.08185007212227,0.438946529723799,-9.52079660184607,-8.64290354239848
"145",3.2795415,-5.13463159747988,-9.2612034467133,"Shilou",22.1643254011002,1.99463560249133,-8.74270851619699,0.441028947836659,-9.18373746403364,-8.30167956836033
"146",3.367683,-6.28907681577545,-9.37623579302008,"Shilou",23.0058435884746,2.27748586502953,-8.70589330475239,0.47937082205478,-9.18526412680717,-8.22652248269761
"147",3.426444,-6.0584911742762,-9.21965597492549,"Shilou",23.3140437880293,2.41858313399879,-8.49410330358484,0.505580336871787,-8.99968364045663,-7.98852296671305
"148",3.4754115,-5.23273162917035,-8.82587152548104,"Shilou",23.374936843336,2.35780201071783,-8.08081188596606,0.494606249662508,-8.57541813562857,-7.58620563630355
"149",3.526875,-5.9234772131352,-8.6333696418757,"Shilou",23.3262272840021,2.09236535455477,-7.90104573533252,0.456144833850233,-8.35719056918275,-7.44490090148228
"150",2.8024,-3.10803525787439,-8.51533329874756,"Jiaxian",16.3675209629137,2.69326857055441,-9.08323984727148,0.574421563267987,-9.65766141053946,-8.50881828400349
"151",2.8267,-2.87361526709031,-8.5785741215851,"Jiaxian",16.5437763838564,2.39812864701483,-9.11134783401215,0.510783371831509,-9.62213120584366,-8.60056446218064
"152",2.8834,-3.03622711865204,-9.35265399803641,"Jiaxian",17.0285057039166,1.95330431449008,-9.79518208435497,0.450055440297991,-10.245237524653,-9.34512664405698
"153",2.9104,-1.78694457631012,-9.15230734189792,"Jiaxian",17.2932809423239,1.8410200095679,-9.54013988261065,0.427562492729812,-9.96770237534046,-9.11257738988084
"154",3.0292,-4.08253730869316,-9.46052077156955,"Jiaxian",18.6869209718147,1.84567593752498,-9.59753288114521,0.428774238350984,-10.0263071194962,-9.16875864279422
"155",3.075,-1.9143771167475,-9.1157559884949,"Jiaxian",19.3121794934287,1.94163589081273,-9.12741777909947,0.438041396247178,-9.56545917534665,-8.6893763828523
"156",3.10222,-1.84040337603446,-9.07511337720962,"Jiaxian",19.7049191479772,1.99921547408191,-9.0139484448882,0.44246371811481,-9.45641216300301,-8.57148472677339
"157",3.15231,-2.73031058329589,-9.21917761095607,"Jiaxian",20.4483693761504,2.03316746137706,-9.0132496559094,0.458117305833784,-9.47136696174318,-8.55513235007561
